card_key_a,card_key_b,mean_abs_diff,similarity_score,difficulty_tier
major_00_fool,major_01_magician,2.0,3,Easy
major_00_fool,major_02_high_priestess,2.5,3,Easy
major_00_fool,major_03_empress,2.167,3,Easy
major_00_fool,major_04_emperor,2.167,3,Easy
major_00_fool,major_05_hierophant,2.833,3,Easy
major_00_fool,major_06_lovers,2.667,3,Easy
major_00_fool,major_07_chariot,2.0,3,Easy
major_00_fool,major_08_strength,2.167,3,Easy
major_00_fool,major_09_hermit,3.167,3,Easy
major_00_fool,major_10_wheel_of_fortune,1.333,1,Hard
major_00_fool,major_11_justice,2.5,3,Easy
major_00_fool,major_12_hanged_man,2.333,3,Easy
major_00_fool,major_13_death,1.333,1,Hard
major_00_fool,major_14_temperance,2.167,3,Easy
major_00_fool,major_15_devil,2.833,3,Easy
major_00_fool,major_16_tower,1.0,1,Hard
major_00_fool,major_17_star,1.833,2,Medium
major_00_fool,major_18_moon,2.333,3,Easy
major_00_fool,major_19_sun,2.667,3,Easy
major_00_fool,major_20_judgment,1.333,1,Hard
major_00_fool,major_21_world,2.5,3,Easy
major_00_fool,minor_wands_ace,0.833,1,Hard
major_00_fool,minor_wands_02,1.667,2,Medium
major_00_fool,minor_wands_03,1.5,2,Medium
major_00_fool,minor_wands_04,2.167,3,Easy
major_00_fool,minor_wands_05,2.167,3,Easy
major_00_fool,minor_wands_06,2.333,3,Easy
major_00_fool,minor_wands_07,1.5,2,Medium
major_00_fool,minor_wands_08,1.333,1,Hard
major_00_fool,minor_wands_09,2.333,3,Easy
major_00_fool,minor_wands_10,2.167,3,Easy
major_00_fool,minor_wands_page,0.833,1,Hard
major_00_fool,minor_wands_knight,1.0,1,Hard
major_00_fool,minor_wands_queen,2.167,3,Easy
major_00_fool,minor_wands_king,2.667,3,Easy
major_00_fool,minor_cups_ace,2.0,3,Easy
major_00_fool,minor_cups_02,2.0,3,Easy
major_00_fool,minor_cups_03,2.333,3,Easy
major_00_fool,minor_cups_04,2.833,3,Easy
major_00_fool,minor_cups_05,2.333,3,Easy
major_00_fool,minor_cups_06,2.333,3,Easy
major_00_fool,minor_cups_07,2.167,3,Easy
major_00_fool,minor_cups_08,1.5,2,Medium
major_00_fool,minor_cups_09,2.333,3,Easy
major_00_fool,minor_cups_10,2.833,3,Easy
major_00_fool,minor_cups_page,2.0,3,Easy
major_00_fool,minor_cups_knight,1.333,1,Hard
major_00_fool,minor_cups_queen,2.5,3,Easy
major_00_fool,minor_cups_king,2.833,3,Easy
major_00_fool,minor_swords_ace,2.0,3,Easy
major_00_fool,minor_swords_02,2.833,3,Easy
major_00_fool,minor_swords_03,2.167,3,Easy
major_00_fool,minor_swords_04,2.5,3,Easy
major_00_fool,minor_swords_05,1.833,2,Medium
major_00_fool,minor_swords_06,1.833,2,Medium
major_00_fool,minor_swords_07,1.833,2,Medium
major_00_fool,minor_swords_08,2.667,3,Easy
major_00_fool,minor_swords_09,2.667,3,Easy
major_00_fool,minor_swords_10,2.0,3,Easy
major_00_fool,minor_swords_page,1.667,2,Medium
major_00_fool,minor_swords_knight,1.5,2,Medium
major_00_fool,minor_swords_queen,2.333,3,Easy
major_00_fool,minor_swords_king,2.167,3,Easy
major_00_fool,minor_pentacles_ace,1.5,2,Medium
major_00_fool,minor_pentacles_02,1.833,2,Medium
major_00_fool,minor_pentacles_03,2.167,3,Easy
major_00_fool,minor_pentacles_04,2.667,3,Easy
major_00_fool,minor_pentacles_05,1.667,2,Medium
major_00_fool,minor_pentacles_06,2.167,3,Easy
major_00_fool,minor_pentacles_07,2.5,3,Easy
major_00_fool,minor_pentacles_08,2.167,3,Easy
major_00_fool,minor_pentacles_09,2.333,3,Easy
major_00_fool,minor_pentacles_10,2.333,3,Easy
major_00_fool,minor_pentacles_page,2.0,3,Easy
major_00_fool,minor_pentacles_knight,2.667,3,Easy
major_00_fool,minor_pentacles_queen,2.167,3,Easy
major_00_fool,minor_pentacles_king,2.167,3,Easy
major_01_magician,major_00_fool,2.0,3,Easy
major_01_magician,major_02_high_priestess,3.167,3,Easy
major_01_magician,major_03_empress,1.833,2,Medium
major_01_magician,major_04_emperor,0.5,1,Hard
major_01_magician,major_05_hierophant,2.167,3,Easy
major_01_magician,major_06_lovers,2.0,3,Easy
major_01_magician,major_07_chariot,1.333,1,Hard
major_01_magician,major_08_strength,1.5,2,Medium
major_01_magician,major_09_hermit,2.833,3,Easy
major_01_magician,major_10_wheel_of_fortune,2.333,3,Easy
major_01_magician,major_11_justice,1.167,1,Hard
major_01_magician,major_12_hanged_man,3.667,3,Easy
major_01_magician,major_13_death,3.0,3,Easy
major_01_magician,major_14_temperance,1.833,2,Medium
major_01_magician,major_15_devil,2.5,3,Easy
major_01_magician,major_16_tower,3.0,3,Easy
major_01_magician,major_17_star,1.5,2,Medium
major_01_magician,major_18_moon,3.667,3,Easy
