global_play_order,unit_number,section_number_global,section_number_in_unit,card_key,card_name,arcana_type,is_symbol_intro,node_number,node_type,node_id,format_code,format_name,anchor_variant,node_phase,cards_involved,cards_to_recall_count,distractor_tier,notes
1,1,1,1,major_00_fool,The Fool,major,True,1,standard,U1-S1-N1,A1,Choose Card From Keywords,keywords,isolation,major_00_fool|major_09_hermit|major_05_hierophant|major_15_devil,1,easy,First exposure: full keyword list -> card art
2,1,1,1,major_00_fool,The Fool,major,True,2,standard,U1-S1-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_00_fool|major_09_hermit|major_05_hierophant|major_15_devil,1,easy,Reverse direction: card art -> matching description
3,1,1,1,major_00_fool,The Fool,major,True,3,standard,U1-S1-N3,A7,Symbol Selection From Label,label_to_symbol_icon,isolation,major_00_fool,1,easy,New symbol taught: Planet - Uranus
4,1,1,1,major_00_fool,The Fool,major,True,4,standard,U1-S1-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_00_fool|major_09_hermit|major_05_hierophant|major_15_devil,1,easy,Third text form of the same new card; distractor pool starts folding in one known card once available
5,1,1,1,major_00_fool,The Fool,major,True,5,standard,U1-S1-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_00_fool,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
6,1,1,1,major_00_fool,The Fool,major,True,6,standard,U1-S1-N6,B,True/False Talking Point,self_contained_statements,interleave_review,major_00_fool,1,n/a,No prior cards yet: all True/False statements are self-contained facts about this one card
7,1,1,1,major_00_fool,The Fool,major,True,7,standard,U1-S1-N7,A2,Choose Meaning From Card,collated_talking_points_v2,isolation,major_00_fool|major_09_hermit|major_05_hierophant|major_15_devil,1,easy,Board Matching not yet possible (only 1 card known) - substituted with a 4th text-form pass
8,1,2,2,minor_cups_ace,Ace of Cups,minor,True,1,standard,U1-S2-N1,A1,Choose Card From Keywords,keywords,isolation,minor_cups_ace|major_16_tower|major_07_chariot|major_12_hanged_man,1,easy,First exposure: full keyword list -> card art
9,1,2,2,minor_cups_ace,Ace of Cups,minor,True,2,standard,U1-S2-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_cups_ace|major_16_tower|major_07_chariot|major_12_hanged_man,1,easy,Reverse direction: card art -> matching description
10,1,2,2,minor_cups_ace,Ace of Cups,minor,True,3,standard,U1-S2-N3,A4,Symbol Identification,card_art_to_symbol_name,isolation,minor_cups_ace,1,easy,New symbol taught: Suit - Cups
11,1,2,2,minor_cups_ace,Ace of Cups,minor,True,4,standard,U1-S2-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_cups_ace|major_00_fool|major_16_tower|major_07_chariot,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
12,1,2,2,minor_cups_ace,Ace of Cups,minor,True,5,standard,U1-S2-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_cups_ace,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
13,1,2,2,minor_cups_ace,Ace of Cups,minor,True,6,standard,U1-S2-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_cups_ace,1,n/a,True/False statements drawn from the new card plus recently taught cards
14,1,2,2,minor_cups_ace,Ace of Cups,minor,True,7,standard,U1-S2-N7,C,Board Matching,tile_grid,interleave_review,minor_cups_ace|major_00_fool,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
15,1,3,3,major_01_magician,The Magician,major,True,1,standard,U1-S3-N1,A1,Choose Card From Keywords,keywords,isolation,major_01_magician|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
16,1,3,3,major_01_magician,The Magician,major,True,2,standard,U1-S3-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_01_magician|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
17,1,3,3,major_01_magician,The Magician,major,True,3,standard,U1-S3-N3,A5,Symbol Meaning Match,meaning_phrase_to_symbol,isolation,major_01_magician,1,easy,New symbol taught: Planet - Mercury
18,1,3,3,major_01_magician,The Magician,major,True,4,standard,U1-S3-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_01_magician|minor_cups_ace|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
19,1,3,3,major_01_magician,The Magician,major,True,5,standard,U1-S3-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_01_magician,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
20,1,3,3,major_01_magician,The Magician,major,True,6,standard,U1-S3-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_01_magician,1,n/a,True/False statements drawn from the new card plus recently taught cards
21,1,3,3,major_01_magician,The Magician,major,True,7,standard,U1-S3-N7,C,Board Matching,tile_grid,interleave_review,major_01_magician|minor_cups_ace,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
22,1,4,4,minor_wands_ace,Ace of Wands,minor,True,1,standard,U1-S4-N1,A1,Choose Card From Keywords,keywords,isolation,minor_wands_ace|major_09_hermit|major_02_high_priestess|minor_cups_04,1,easy,First exposure: full keyword list -> card art
23,1,4,4,minor_wands_ace,Ace of Wands,minor,True,2,standard,U1-S4-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_wands_ace|major_09_hermit|major_02_high_priestess|minor_cups_04,1,easy,Reverse direction: card art -> matching description
24,1,4,4,minor_wands_ace,Ace of Wands,minor,True,3,standard,U1-S4-N3,A7,Symbol Selection From Label,label_to_symbol_icon,isolation,minor_wands_ace,1,easy,New symbol taught: Suit - Wands
25,1,4,4,minor_wands_ace,Ace of Wands,minor,True,4,standard,U1-S4-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_wands_ace|major_01_magician|major_09_hermit|major_02_high_priestess,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
26,1,4,4,minor_wands_ace,Ace of Wands,minor,True,5,standard,U1-S4-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_wands_ace,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
27,1,4,4,minor_wands_ace,Ace of Wands,minor,True,6,standard,U1-S4-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_wands_ace,1,n/a,True/False statements drawn from the new card plus recently taught cards
28,1,4,4,minor_wands_ace,Ace of Wands,minor,True,7,standard,U1-S4-N7,C,Board Matching,tile_grid,interleave_review,minor_wands_ace|major_01_magician,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
29,1,5,5,major_03_empress,The Empress,major,True,1,standard,U1-S5-N1,A1,Choose Card From Keywords,keywords,isolation,major_03_empress|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
30,1,5,5,major_03_empress,The Empress,major,True,2,standard,U1-S5-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_03_empress|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
31,1,5,5,major_03_empress,The Empress,major,True,3,standard,U1-S5-N3,A4,Symbol Identification,card_art_to_symbol_name,isolation,major_03_empress,1,easy,New symbol taught: Planet - Venus
32,1,5,5,major_03_empress,The Empress,major,True,4,standard,U1-S5-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_03_empress|minor_wands_ace|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
